10,9,,,,,,,,,,,Cmaj,Dmaj,Cmaj,Dmaj,Cno3,Cmaj,Dmaj,Cmaj,Dmaj,1.0,####,_DmajCmajDmajCmajCno3DmajCmajDmajCmaj
20,8,,,,,,,,,,,,Cmaj,Dmaj,Cmaj,Gmaj,Dmaj,Cmaj,Dmaj,Cmaj,0.9709505944546686,####,_CmajDmajCmajDmajGmajCmajDmajCmaj
10,7,,,,,,,,,,,,,Cmaj,Dmaj,Cno3,Cmaj,Dmaj,Cmaj,Dmaj,1.0,####,_DmajCmajDmajCmajCno3DmajCmaj
20,6,,,,,,,,,,,,,,Cmaj,Dmaj,D,Fmaj,Cmaj,Dmin,1.1567796494470395,###,_DminCmajFmajDDmajCmaj
14,12,,,,,,,,Cmaj,Dmaj,D,Fmaj,Cmaj,Dmin,Cmaj,Dmaj,D,Fmaj,Cmaj,Dmin,1.3787834934861758,#####,_DminCmajFmajDDmajCmajDminCmajFmajDDmajCmaj
26,4,,,,,,,,,,,,,,,,Cmaj,Dmin,B-maj,Cmaj,1.2957378005380122,#,_CmajB-majDminCmaj
10,19,Cmaj,Dmin,B-maj,Cmaj,Dmin,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.5219280948873621,#############,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDminCmajB-majDminCmaj
10,16,,,,Cmaj,Dmin,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.5219280948873621,###########,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDminCmaj
18,8,,,,,,,,,,,,Cmaj,Dmin,Cmaj,Dmaj,D,Fmaj,Cmaj,Dmin,1.224394445405986,####,_DminCmajFmajDDmajCmajDminCmaj
12,14,,,,,,Cmaj,Dmin,Cmaj,Dmaj,D,Fmaj,Cmaj,Dmin,Cmaj,Dmaj,D,Fmaj,Cmaj,Dmin,0.9182958340544896,#####,_DminCmajFmajDDmajCmajDminCmajFmajDDmajCmajDminCmaj
123,5,,,,,,,,,,,,,,,Cmaj,Dmin,Cmaj,Dmin,Cmaj,1.056326616577991,#,_CmajDminCmajDminCmaj
11,9,,,,,,,,,,,Cmaj,Dmin,Cmaj,Dmin,Cmaj,Fmaj,Cmaj,Dmin,Cmaj,1.3221793455166668,##,_CmajDminCmajFmajCmajDminCmajDminCmaj
12,7,,,,,,,,,,,,,Cmaj,Dmin,Cmaj,Fmaj,Cmaj,Dmin,Cmaj,1.280672129520887,#,_CmajDminCmajFmajCmajDminCmaj
18,11,,,,,,,,,Cmaj,Dmin,Ddim7,Fdim7,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,1.224394445405986,########,_DminAmajCmajFminDminEminCmajFdim7Ddim7DminCmaj
26,9,,,,,,,,,,,Cmaj,Dmin,Fmaj,Gmaj,Cmaj,Dmin,Fmaj,Gmaj,Cmaj,1.1160762796829877,##,_CmajGmajFmajDminCmajGmajFmajDminCmaj
12,14,,,,,,Cmaj,Dmin,Fmaj,Gmaj,Cmaj,Dmin,Fmaj,Gmaj,Cmaj,Dmin,Fmaj,Gmaj,Cmaj,Dmin,0.9182958340544896,###,_DminCmajGmajFmajDminCmajGmajFmajDminCmajGmajFmajDminCmaj
17,4,,,,,,,,,,,,,,,,Cmaj,Dmin,G7,Cmaj,2.513645929358371,#,_CmajG7DminCmaj
68,4,,,,,,,,,,,,,,,,Cmaj,Dmin7,B-maj,Cmaj,0.92979150831574,#,_CmajB-majDmin7Cmaj
56,7,,,,,,,,,,,,,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.0622698109081754,##,_CmajB-majDmin7CmajB-majDmin7Cmaj
44,10,,,,,,,,,,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.2433003685389579,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7Cmaj
32,13,,,,,,,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.5016144718101818,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7Cmaj
20,16,,,,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.3567796494470397,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7Cmaj
14,19,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,Dmin7,B-maj,Cmaj,1.6644977792004616,##,_CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7CmajB-majDmin7Cmaj
21,17,,,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,Dmin7,Cmaj,0.9852281360342516,#######,_CmajDmin7CmajDmin7CmajDmin7CmajDmin7CmajDmin7CmajDmin7CmajDmin7CmajDmin7Cmaj
12,6,,,,,,,,,,,,,,Cmaj,Dmin7,Fmaj,Gmaj,Cmaj,Fmaj,0.9182958340544896,#,_FmajCmajGmajFmajDmin7Cmaj
10,18,,Cmaj,Dmin7,Fmaj,Gmaj,Fmaj,Gmaj,Cmaj,Dmin7,Fmaj,Gmaj,Fmaj,Gmaj,Cmaj,Dmin7,Fmaj,Gmaj,Fmaj,Gmaj,0.9219280948873623,#########,_GmajFmajGmajFmajDmin7CmajGmajFmajGmajFmajDmin7CmajGmajFmajGmajFmajDmin7Cmaj
18,6,,,,,,,,,,,,,,Cmaj,E-maj,B-maj,Cmaj,E-maj,B-maj,0.9910760598382222,#,_B-majE-majCmajB-majE-majCmaj
15,5,,,,,,,,,,,,,,,Cmaj,E-maj,Cmaj,E-maj,Cmaj,1.7382689280764647,#,_CmajE-majCmajE-majCmaj
30,8,,,,,,,,,,,,Cmaj,E-maj,Fmaj,Cmaj,E-maj,Fmaj,Cmaj,E-maj,1.1054930959648088,#,_E-majCmajFmajE-majCmajFmajE-majCmaj
15,11,,,,,,,,,Cmaj,E-maj,Fmaj,Cmaj,E-maj,Fmaj,Cmaj,E-maj,Fmaj,Cmaj,E-maj,1.4256051990169436,#,_E-majCmajFmajE-majCmajFmajE-majCmajFmajE-majCmaj
10,14,,,,,,Cmaj,E-maj,Fmaj,Cmaj,E-maj,Fmaj,Cmaj,E-maj,Fmaj,Cmaj,E-maj,Fmaj,Cmaj,E-maj,1.7609640474436812,##,_E-majCmajFmajE-majCmajFmajE-majCmajFmajE-majCmajFmajE-majCmaj
11,4,,,,,,,,,,,,,,,,Cmaj,Emin,Amin7,Emin,1.3221793455166668,#,_EminAmin7EminCmaj
20,6,,,,,,,,,,,,,,Cmaj,Emin,Cmaj,Emin,Cmaj,Emin,0.9709505944546686,#,_EminCmajEminCmajEminCmaj
12,8,,,,,,,,,,,,Cmaj,Emin,Cmaj,Emin,Cmaj,Emin,Cmaj,Emin,0.9182958340544896,#,_EminCmajEminCmajEminCmajEminCmaj
26,7,,,,,,,,,,,,,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,1.1401156785146092,###,_DminAmajCmajFminDminEminCmaj
12,18,,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,Cmaj,Dmin,Ddim7,Fdim7,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,1.4591479170272448,#########,_DminAmajCmajFminDminEminCmajFdim7Ddim7DminCmajDminAmajCmajFminDminEminCmaj
29,5,,,,,,,,,,,,,,,Cmaj,F7,Cmaj,F7,Cmaj,1.2013628920478723,#,_CmajF7CmajF7Cmaj
21,7,,,,,,,,,,,,,Cmaj,F7,Cmaj,F7,Cmaj,F7,Cmaj,1.5064431878202948,#,_CmajF7CmajF7CmajF7Cmaj
13,9,,,,,,,,,,,Cmaj,F7,Cmaj,F7,Cmaj,F7,Cmaj,F7,Cmaj,1.352030101757953,#,_CmajF7CmajF7CmajF7CmajF7Cmaj
13,9,,,,,,,,,,,Cmaj,F7,Cmaj,G7,Cmaj,F7,Cmaj,G7,Cmaj,1.198183947911799,###,_CmajG7CmajF7CmajG7CmajF7Cmaj
20,5,,,,,,,,,,,,,,,Cmaj,Fmaj,Amin,Dmin,Fmaj,1.0,#,_FmajDminAminFmajCmaj
10,13,,,,,,,Cmaj,Fmaj,Amin,Dmin,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,Amin,Dmin,Fmaj,Cmaj,0.9709505944546686,#######,_CmajFmajDminAminFmajCmajFmajB-majFmajDminAminFmajCmaj
11,6,,,,,,,,,,,,,,Cmaj,Fmaj,B-maj,Cmaj,Fmaj,B-maj,1.4353713907745331,##,_B-majFmajCmajB-majFmajCmaj
74,6,,,,,,,,,,,,,,Cmaj,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,1.3031522377022922,#,_FmajCmajFmajB-majFmajCmaj
23,8,,,,,,,,,,,,Cmaj,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,1.1625633078480364,#,_FmajCmajFmajCmajFmajB-majFmajCmaj
44,5,,,,,,,,,,,,,,,Cmaj,Fmaj,B-maj,G7,Cmaj,1.2700004112701018,#,_CmajG7B-majFmajCmaj
23,9,,,,,,,,,,,Cmaj,Fmaj,B-maj,G7,Cmaj,Fmaj,B-maj,G7,Cmaj,1.3249692858267146,##,_CmajG7B-majFmajCmajG7B-majFmajCmaj
12,5,,,,,,,,,,,,,,,Cmaj,Fmaj,B-maj,Gmin,Cmaj,1.4591479170272448,#,_CmajGminB-majFmajCmaj
10,5,,,,,,,,,,,,,,,Cmaj,Fmaj,B-maj,Gmin7,Cmaj,0.9709505944546686,#,_CmajGmin7B-majFmajCmaj
14,8,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,1.4299111709758698,#,_B-majCmajFmajCmajB-majCmajFmajCmaj
14,5,,,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,D7,G7,1.3787834934861756,#,_G7D7CmajFmajCmaj
16,6,,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Dmin7,G7,Cmaj,1.4772170014624826,#,_CmajG7Dmin7CmajFmajCmaj
12,7,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Fmaj,Amin,Gmaj,Fmaj,0.9182958340544896,#,_FmajGmajAminFmajCmajFmajCmaj
18,10,,,,,,,,,,Cmaj,Fmaj,Cmaj,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,1.194173734256912,###,_FmajCmajFmajCmajFmajB-majFmajCmajFmajCmaj
10,15,,,,,Cmaj,Fmaj,Cmaj,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,B-maj,Fmaj,Cmaj,Fmaj,Cmaj,0.9219280948873623,####,_CmajFmajCmajFmajB-majFmajCmajFmajCmajFmajB-majFmajCmajFmajCmaj
265,16,,,,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,0.9410675154298119,#,_FmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj
11,15,,,,,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,1.9362600275315274,#,_FmajCmajGmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj
11,13,,,,,,,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,1.9362600275315274,#,_FmajCmajGmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj
26,9,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,0.9996551889197438,#,_CmajFmajCmajGmajCmajFmajCmajFmajCmaj
28,14,,,,,,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.1981174211304033,#####,_CmajFmajCmajFmajCmajFmajGmajFmajGmajCmajFmajCmajFmajCmaj
18,19,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Gmaj,Fmaj,Cmaj,0.9182958340544896,####,_CmajFmajGmajFmajGmajCmajFmajCmajFmajCmajFmajGmajFmajGmajCmajFmajCmajFmajCmaj
24,7,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Fmaj,Gmaj,Fmaj,Cmaj,0.9405662399881731,#,_CmajFmajGmajFmajCmajFmajCmaj
19,7,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,G7,Cmaj,G7,Cmaj,1.8710191208788398,#,_CmajG7CmajG7CmajFmajCmaj
22,6,,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,G7,Fmaj,Cmaj,1.4226754683112182,#,_CmajFmajG7CmajFmajCmaj
12,7,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,B-maj,Fmaj,Gmaj,0.9182958340544896,#,_GmajFmajB-majGmajCmajFmajCmaj
13,11,,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.1401156785146092,#,_CmajFmajCmajFmajCmajFmajCmajGmajCmajFmajCmaj
53,11,,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,0.9951061251949511,##,_CmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmaj
35,15,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,1.090402293522784,##,_CmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmaj
25,19,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,1.0263137138648348,###,_CmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmaj
50,8,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.18226713100781,#,_CmajFmajCmajFmajGmajCmajFmajCmaj
10,11,,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,1.360964047443681,#,_GmajCmajFmajCmajFmajCmajFmajGmajCmajFmajCmaj
18,16,,,,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,0.9864267287308424,#####,_CmajFmajGmajCmajFmajCmajFmajGmajCmajFmajCmajFmajGmajCmajFmajCmaj
18,9,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,1.2516291673878228,##,_CmajFmajGmajCmajFmajGmajCmajFmajCmaj
36,12,,,,,,,,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.0529407605626349,####,_CmajFmajCmajFmajCmajFmajGmajFmajGmajCmajFmajCmaj
18,7,,,,,,,,,,,,,Cmaj,Fmaj,Cmaj,Gsus4,Cmaj,Fmaj,Cmaj,0.9864267287308425,#,_CmajFmajCmajGsus4CmajFmajCmaj
13,10,,,,,,,,,,Cmaj,Fmaj,Dmin,Gmaj,Cmaj,Fmaj,Dmin,Gmaj,Cmaj,Fmaj,1.2389012566026307,##,_FmajCmajGmajDminFmajCmajGmajDminFmajCmaj
31,6,,,,,,,,,,,,,,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,0.9473759016233785,##,_E-majFmajCmajE-majFmajCmaj
24,9,,,,,,,,,,,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,1.1386865525783176,##,_E-majFmajCmajE-majFmajCmajE-majFmajCmaj
19,12,,,,,,,,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,1.3372449392958772,##,_E-majFmajCmajE-majFmajCmajE-majFmajCmajE-majFmajCmaj
14,15,,,,,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,0.946372935985442,##,_E-majFmajCmajE-majFmajCmajE-majFmajCmajE-majFmajCmajE-majFmajCmaj
11,18,,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,Cmaj,Fmaj,E-maj,1.0957952550009338,##,_E-majFmajCmajE-majFmajCmajE-majFmajCmajE-majFmajCmajE-majFmajCmajE-majFmajCmaj
32,4,,,,,,,,,,,,,,,,Cmaj,Fmaj,Fsus4,Fmaj,1.0323024945677541,#,_FmajFsus4FmajCmaj
10,8,,,,,,,,,,,,Cmaj,Fmaj,Fsus4,Fmaj,Cmaj,Fmaj,Fsus4,Fmaj,2.0464393446710156,#,_FmajFsus4FmajCmajFmajFsus4FmajCmaj
60,7,,,,,,,,,,,,,Cmaj,Fmaj,G7,Cmaj,Fmaj,G7,Cmaj,1.2977461722574546,#,_CmajG7FmajCmajG7FmajCmaj
33,10,,,,,,,,,,Cmaj,Fmaj,G7,Cmaj,Fmaj,G7,Cmaj,Fmaj,G7,Cmaj,1.3462395733794308,#,_CmajG7FmajCmajG7FmajCmajG7FmajCmaj
17,13,,,,,,,Cmaj,Fmaj,G7,Cmaj,Fmaj,G7,Cmaj,Fmaj,G7,Cmaj,Fmaj,G7,Cmaj,1.1400677626718574,#,_CmajG7FmajCmajG7FmajCmajG7FmajCmajG7FmajCmaj
10,9,,,,,,,,,,,Cmaj,Fmaj,Gmaj,Cmaj,B-maj,Cmaj,B-maj,Cmaj,B-maj,0.9709505944546686,##,_B-majCmajB-majCmajB-majCmajGmajFmajCmaj
14,8,,,,,,,,,,,,Cmaj,Fmaj,Gmaj,Cmaj,Dmin7,Fmaj,Gmaj,Fmaj,0.9402859586706309,###,_FmajGmajFmajDmin7CmajGmajFmajCmaj
12,7,,,,,,,,,,,,,Cmaj,Fmaj,Gmaj,Cmaj,Emin,Fmaj,Gmaj,1.0,#,_GmajFmajEminCmajGmajFmajCmaj
306,10,,,,,,,,,,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,1.0759242863836214,#,_CmajGmajFmajCmajGmajFmajCmajGmajFmajCmaj
12,18,,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,1.0,########,_CmajGmajFmajCmajGmajFmajCmajGmajFmajCmajGmajCmajGmajFmajCmajGmajFmajCmaj
21,9,,,,,,,,,,,Cmaj,Fmaj,Gmaj,Cmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,0.9587118829771318,##,_CmajGmajFmajCmajGmajCmajGmajFmajCmaj
12,15,,,,,Cmaj,Fmaj,Gmaj,Cmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,1.0,#####,_CmajGmajFmajCmajGmajFmajCmajGmajFmajCmajGmajCmajGmajFmajCmaj
12,11,,,,,,,,,Cmaj,Fmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Gmaj,0.9182958340544896,#,_GmajFmajCmajFmajCmajFmajCmajFmajGmajFmajCmaj
10,14,,,,,,Cmaj,Fmaj,Gmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Fmaj,1.0,###,_FmajGmajFmajCmajGmajFmajGmajFmajCmajGmajFmajGmajFmajCmaj
18,7,,,,,,,,,,,,,Cmaj,Fmaj,Gmaj,Fmaj,Gmaj,Fmaj,Gmaj,1.7652465283787413,#,_GmajFmajGmajFmajGmajFmajCmaj
22,5,,,,,,,,,,,,,,,Cmaj,Fmaj,Gmaj,G7,Cmaj,1.547897627500467,#,_CmajG7GmajFmajCmaj
54,7,,,,,,,,,,,,,Cmaj,Fmaj,Gsus4,Cmaj,Fmaj,Gsus4,Cmaj,1.0587014473730867,#,_CmajGsus4FmajCmajGsus4FmajCmaj
15,12,,,,,,,,Cmaj,Fmaj6,G7,Cmaj,Fmaj6,G7,Cmaj,Fmaj6,G7,Cmaj,Fmaj6,G7,0.9055872616982603,######,_G7Fmaj6CmajG7Fmaj6CmajG7Fmaj6CmajG7Fmaj6Cmaj
13,12,,,,,,,,Cmaj,Fmin,Cmaj,Fmin,Cmaj,Fmin,Cmaj,Fmin,Cmaj,Fmin,Cmaj,Fmin,0.9912642605354288,##,_FminCmajFminCmajFminCmajFminCmajFminCmajFminCmaj
10,5,,,,,,,,,,,,,,,Cmaj,Fmin,G-maj,Emaj,Cmaj,1.9219280948873623,##,_CmajEmajG-majFminCmaj
12,5,,,,,,,,,,,,,,,Cmaj,Fno3,Gmaj,Fmaj7,Cmaj,1.2516291673878228,##,_CmajFmaj7GmajFno3Cmaj
14,6,,,,,,,,,,,,,,Cmaj,Fsus4,Fmaj,Fsus4,Fmaj,Cmaj,0.9852281360342516,#,_CmajFmajFsus4FmajFsus4Cmaj
14,8,,,,,,,,,,,,Cmaj,G7,Cmaj,C7,Fmaj,Cmaj,G7,Cmaj,1.7783283537314116,#,_CmajG7CmajFmajC7CmajG7Cmaj
15,7,,,,,,,,,,,,,Cmaj,G7,Cmaj,F7,Cmaj,G7,Cmaj,1.103307408607834,###,_CmajG7CmajF7CmajG7Cmaj
11,11,,,,,,,,,Cmaj,G7,Cmaj,F7,Cmaj,G7,Cmaj,F7,Cmaj,G7,Cmaj,1.0957952550009338,###,_CmajG7CmajF7CmajG7CmajF7CmajG7Cmaj
12,7,,,,,,,,,,,,,Cmaj,G7,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.280672129520887,#,_CmajFmajCmajFmajCmajG7Cmaj
19,7,,,,,,,,,,,,,Cmaj,G7,Cmaj,G7,Cmaj,C7,Fmaj,0.9530138853315973,#,_FmajC7CmajG7CmajG7Cmaj
18,8,,,,,,,,,,,,Cmaj,G7,Cmaj,G7,Cmaj,Fmaj,Cmaj,G7,1.4806821149663847,#,_G7CmajFmajCmajG7CmajG7Cmaj
32,4,,,,,,,,,,,,,,,,Cmaj,G7,F7,Cmaj,1.9021036266528566,#,_CmajF7G7Cmaj
50,4,,,,,,,,,,,,,,,,Cmaj,G7,Fmaj,Cmaj,2.448438511985372,#,_CmajFmajG7Cmaj
20,11,,,,,,,,,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,1.5709505944546687,####,_CmajGmajFmajAminGmajCmajGmajFmajAminGmajCmaj
12,16,,,,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,Gmaj,Amin,Fmaj,Gmaj,Cmaj,1.7924812503605778,####,_CmajGmajFmajAminGmajCmajGmajFmajAminGmajCmajGmajFmajAminGmajCmaj
14,6,,,,,,,,,,,,,,Cmaj,Gmaj,Amin,Gmaj6,Fmaj,Gmaj,0.946372935985442,##,_GmajFmajGmaj6AminGmajCmaj
12,6,,,,,,,,,,,,,,Cmaj,Gmaj,B-maj,Cmaj,Gmaj,B-maj,1.280672129520887,##,_B-majGmajCmajB-majGmajCmaj
11,9,,,,,,,,,,,Cmaj,Gmaj,Cmaj,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,1.6171895725927152,####,_CmajGmajCmajAminEmajAminCmajGmajCmaj
20,9,,,,,,,,,,,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.5954618442383217,#,_CmajFmajCmajFmajCmajFmajCmajGmajCmaj
63,9,,,,,,,,,,,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,0.962476108457635,#,_CmajFmajCmajGmajCmajFmajCmajGmajCmaj
43,13,,,,,,,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,0.9408650441419417,##,_CmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmajGmajCmaj
28,17,,,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,1.27187087275341,##,_CmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmajGmajCmajFmajCmajGmajCmaj
12,9,,,,,,,,,,,Cmaj,Gmaj,Cmaj,Fmaj,Cmaj,Gmaj,Cmaj,Gmaj,Cmaj,1.3250112108241772,#,_CmajGmajCmajGmajCmajFmajCmajGmajCmaj
12,14,,,,,,Cmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,1.4591479170272446,#####,_GmajFmajCmajGmajFmajCmajGmajFmajCmajGmajFmajCmajGmajCmaj
10,5,,,,,,,,,,,,,,,Cmaj,Gmaj,Cmaj,Fmaj7,Dmin7,1.0,#,_Dmin7Fmaj7CmajGmajCmaj
22,6,,,,,,,,,,,,,,Cmaj,Gmaj,Dmaj,Cmaj,Dmaj,Cmaj,0.9940302114769565,#,_CmajDmajCmajDmajGmajCmaj
22,4,,,,,,,,,,,,,,,,Cmaj,Gmaj,F7,Cmaj,2.170134892428194,#,_CmajF7GmajCmaj
24,10,,,,,,,,,,Cmaj,Gmaj,Fmaj,Cmaj,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,1.4056390622295662,#####,_GmajCmajFmaj7G7Fmaj7Amin7CmajFmajGmajCmaj
32,9,,,,,,,,,,,Cmaj,Gmaj,Fmaj,Cmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,1.4730505277442498,#,_CmajFmajGmajCmajFmajCmajFmajGmajCmaj
